CZ3-TI7003,CZ3-FI7020,CZ3-TI7041,CZ3-TI7001,CZ3-TI7005,CZ3-PI7101,CZ3-FC7002,CZ3-TI7043,CZ3-PI7008,CZ3-FI7017,CZ3-FI7019,CZ3-TI7007,CZ3-FI7018,CZ3-FC7007,CZ3-FIC7009,CZ3-FI7006
519.7487,1863.563,62.80818,519.3922,519.8636,0.8495428,170.5075,196.461,0.8504227,4086.911,2644.662,521.9677,2934.905,159.6982,4.450101,78227.23
517.6246,1790.321,64.84045,518.5938,518.6369,0.8472274,169.449,199.4249,0.850461,4132.389,2560.397,518.2168,2918.6,160.5114,4.088283,73810.48
517.1334,1741.379,61.60113,520.0877,516.55,0.8477187,170.4239,197.0589,0.8503749,4372.794,2599.367,517.6032,2869.774,162.7102,3.947443,74118.46
517.1035,1733.88,62.78165,517.776,517.9468,0.8482673,170.1803,195.8684,0.8499398,4276.649,2602.464,517.9659,2872.107,161.5217,4.071525,75294.2
519.6401,1997.031,59.44962,518.0906,520.2515,0.8484133,172.6362,195.8905,0.8505723,4098.36,2508.232,524.277,2876.664,160.6122,4.428359,77024.17
518.1757,2139.476,63.37143,516.1482,517.9319,0.8473739,170.0114,200.9867,0.85,4417.637,2668.169,522.7297,2915.049,162.1432,3.911744,78510.71
514.1327,1759.516,61.86238,514.7887,515.3878,0.8503944,172.0414,195.3532,0.850239,4464.984,2601.972,515.6779,2856.665,164.8851,4.008727,72432.05
519.9885,2062.012,57.10707,519.3566,519.8206,0.8468809,170.189,192.7636,0.849449,4095.634,2626.597,522.9919,2821.195,161.1035,3.91795,75121.97
515.4384,1768.177,60.13585,516.4218,516.6343,0.8492653,171.0468,197.8548,0.8498022,4269.366,2534.308,516.2787,2814.05,163.6707,3.907829,74131.2
521.0726,2118.584,63.92358,517.7316,520.9419,0.8501368,170.5476,200.3129,0.852437,4044.155,2751.136,524.0832,2887.413,164.0288,3.644361,77300.73
517.9888,2071.125,60.35068,518.5015,517.9855,0.8488587,170.0466,195.6965,0.85018,4207.099,2494.935,521.5497,2913.975,160.0253,4.465402,75283.99
518.1387,2064.749,61.63656,519.0746,518.5923,0.8479687,170.3071,192.9492,0.8503124,4127.02,2591.808,521.7571,2845.725,159.2819,4.481908,74830.59
515.4056,1710.396,60.31518,515.3236,516.1821,0.8492666,172.1584,199.4082,0.8490996,4027.611,2499.591,515.9238,2839.817,165.9011,3.948998,74471.55
518.0994,2021.601,59.98886,519.9713,517.7767,0.8486346,170.3311,194.1797,0.8495625,4162.998,2475.388,522.1506,2875.908,165.2872,3.902014,78046.19
516.8789,2155.155,60.41156,516.0954,517.9577,0.8472187,169.84,199.1425,0.8493907,4486.664,2754.514,521.92,2955.046,159.5631,3.964381,74706.05
517.6441,2050.273,60.73707,518.66,517.9093,0.8471259,170.0586,191.7939,0.8489569,4201.706,2476.017,522.0084,2871.512,162.1186,3.62148,76120.09
519.9946,1899.827,61.13491,517.8246,521.0535,0.847486,170.4443,195.7326,0.8494028,4147.605,2556.46,523.7846,2859.236,163.8804,4.850411,79201.18
519.6104,1908.547,61.67148,520.2735,520.4267,0.8489109,171.8186,196.6856,0.8498445,4071.941,2426.372,523.9824,2671.771,163.1607,4.156752,74574.6
520.7393,1928.396,59.38079,516.6989,521.3752,0.8510113,170.7087,197.2442,0.8507574,4115.45,2576.568,523.5601,2894.893,163.1784,4.763719,77144.65
518.738,2012.744,63.0825,518.7489,518.4835,0.8496574,169.9381,199.9765,0.849514,3972.035,2500.123,522.121,2763.062,161.4656,4.304147,76354.95
516.9177,1689.196,60.56704,515.4034,518.0154,0.8482134,171.923,196.8332,0.85,4260.272,2479.023,518.0353,2821.878,164.1659,4.065005,73750.84
514.903,1733.291,60.43437,516.9689,515.5076,0.848915,171.4885,200.193,0.8497964,4094.662,2496.47,515.6044,2918.855,166.2848,3.91969,73812.39
517.6256,2097.442,62.48442,518.2863,517.2637,0.8493168,169.9915,200.1677,0.8500978,4163.831,2589.057,521.4982,2881.687,160.6722,4.385618,75775.99
517.8391,2106.002,58.10649,519.0809,518.6705,0.847958,169.3371,190.2642,0.8495909,4244.751,2689.758,521.6561,2876.935,165.3088,3.326344,74256.2
518.437,2053.79,62.36912,518.4512,519.5362,0.8471254,169.8433,193.7554,0.8496568,4299.732,2498.034,522.5447,2923.125,160.2427,4.443865,77104.75
518.925,2138.066,58.43837,518.6264,518.8253,0.8477443,169.6804,193.9277,0.8496595,4223.89,2699.367,523.0732,2844.278,156.9504,3.797455,77601.63
518.6095,2129.487,64.13531,520.1758,519.0344,0.8459914,170.1362,193.4324,0.8501471,4270.494,2713.978,523.0052,2848.177,161.7889,3.987438,73366.13
520.4752,1853.264,58.90702,519.1094,520.1602,0.8490801,170.372,192.754,0.8490942,3979.241,2583.135,522.2713,2903.326,158.6147,4.526341,75569.91
515.1152,1724.5,61.88845,515.0437,516.1435,0.8485711,171.32,194.6935,0.8494322,4308.322,2545.563,516.0645,2780.043,167.1668,3.832548,71507.46
517.9485,2075.426,60.43235,518.3928,518.4736,0.846466,170.264,194.5043,0.8498749,4186.547,2661.625,521.8362,2767.819,161.5318,3.578214,75710.12
516.9841,2116.64,61.28222,519.1538,518.288,0.8484803,170.702,194.1147,0.8504568,4286.697,2712.769,521.6018,2826.036,159.8459,3.770954,75792.84
519.957,2046.853,65.1433,518.6513,519.2454,0.8478848,169.9762,198.6286,0.8508001,4299.341,2522.858,522.0027,2963.066,163.1013,4.188163,75797.35
